prompt_id,query_type,query,expected_answer,invoked_tool,tool_name,tool_args,capai_result,final_answer,correct,spurious_invocation,latency_ms,timestamp
1,numerical,Is 97 a prime number?,True,True,is_prime,[97],True,True,True,False,183.08,2026-07-25T14:40:51.916767+00:00
2,numerical,What is the 10th Fibonacci number?,55,True,fibonacci,[10],55,55,True,False,349.19,2026-07-25T14:40:54.682757+00:00
3,numerical,Calculate the factorial of 7,5040,True,factorial,[7],5040,5040,True,False,177.1,2026-07-25T14:40:57.341609+00:00
4,numerical,What is the GCD of 48 and 18?,6,True,gcd,"[48, 18]",6,6,True,False,454.84,2026-07-25T14:41:00.103580+00:00
5,numerical,Convert 100 degrees Celsius to Fahrenheit,212.0,True,celsius_to_fahrenheit,[100],212.0,212.0,True,False,358.42,2026-07-25T14:41:02.872909+00:00
6,numerical,Is 144 a perfect square?,True,True,is_perfect_square,[144],True,True,True,False,168.77,2026-07-25T14:41:05.533604+00:00
7,numerical,What is the sum of digits of 12345?,15,True,sum_digits,[12345],15,15,True,False,170.42,2026-07-25T14:41:27.089141+00:00
8,numerical,What is 2 to the power of 10 modulo 1000?,24,True,mod_power,"[2, 10, 1000]",24,24,True,False,179.2,2026-07-25T14:41:36.690592+00:00
9,numerical,Is 28 a perfect number?,True,True,is_perfect_number,[28],True,True,True,False,322.77,2026-07-25T14:41:39.429376+00:00
10,numerical,What is the LCM of 4 and 6?,12,True,lcm,"[4, 6]",12,12,True,False,170.82,2026-07-25T14:41:42.090982+00:00
11,string,Is 'racecar' a palindrome?,True,True,is_palindrome,"[""racecar""]",racecar,racecar,False,False,171.33,2026-07-25T14:41:44.754065+00:00
12,string,Reverse the words in 'hello world foo',foo world hello,True,reverse_words,"[""hello world foo""]",foo world hello,foo world hello,True,False,178.04,2026-07-25T14:41:47.416553+00:00
13,string,Count the vowels in 'Hello World',3,True,count_vowels,"[""Hello World""]",3,3,True,False,353.99,2026-07-25T14:41:50.282607+00:00
14,string,Is 'listen' an anagram of 'silent'?,True,True,are_anagrams,"[""listen"", ""silent""]",True,True,True,False,180.49,2026-07-25T14:42:01.234598+00:00
15,string,Convert 'hello_world' from snake_case to camelCase,helloWorld,True,snake_to_camel,"[""hello_world""]",hello_world,hello_world,False,False,165.75,2026-07-25T14:42:03.934344+00:00
16,string,Run-length encode the string 'aaabbc',3a2b1c,True,run_length_encode,"[""aaabbc""]",3a2b1c,3a2b1c,True,False,230.91,2026-07-25T14:42:06.667409+00:00
17,string,Is 'The quick brown fox jumps over the lazy dog' a pangram?,True,True,is_pangram,"[""The quick brown fox jumps over the lazy dog""]",True,True,True,False,353.85,2026-07-25T14:42:09.637321+00:00
