model_key,model_name,task_id,category,difficulty,trial_index,latency_ms,correct,cache_status,http_status,error_type,timestamp
llama8b,llama-3.1-8b-instant,reverse_words,String and Text Processing,Easy,0,457.31,True,,200,,2026-07-25T13:24:02.388129+00:00
llama8b,llama-3.1-8b-instant,reverse_words,String and Text Processing,Easy,1,531.11,True,,200,,2026-07-25T13:24:05.923979+00:00
llama8b,llama-3.1-8b-instant,reverse_words,String and Text Processing,Easy,2,463.24,True,,200,,2026-07-25T13:24:09.390398+00:00
llama8b,llama-3.1-8b-instant,count_vowels,String and Text Processing,Easy,0,495.46,True,,200,,2026-07-25T13:24:12.889998+00:00
llama8b,llama-3.1-8b-instant,count_vowels,String and Text Processing,Easy,1,579.2,True,,200,,2026-07-25T13:24:16.472706+00:00
llama8b,llama-3.1-8b-instant,count_vowels,String and Text Processing,Easy,2,506.9,True,,200,,2026-07-25T13:24:19.986704+00:00
llama8b,llama-3.1-8b-instant,is_palindrome_str,String and Text Processing,Easy,0,549.24,True,,200,,2026-07-25T13:24:23.540896+00:00
llama8b,llama-3.1-8b-instant,is_palindrome_str,String and Text Processing,Easy,1,449.21,True,,200,,2026-07-25T13:24:26.996477+00:00
llama8b,llama-3.1-8b-instant,is_palindrome_str,String and Text Processing,Easy,2,463.64,True,,200,,2026-07-25T13:24:30.465645+00:00
llama8b,llama-3.1-8b-instant,levenshtein_distance,String and Text Processing,Hard,0,11998.45,False,,500,logic_error,2026-07-25T13:24:45.469409+00:00
llama8b,llama-3.1-8b-instant,levenshtein_distance,String and Text Processing,Hard,1,10397.49,False,,500,logic_error,2026-07-25T13:24:58.872485+00:00
llama8b,llama-3.1-8b-instant,levenshtein_distance,String and Text Processing,Hard,2,20920.64,False,,500,logic_error,2026-07-25T13:25:22.796839+00:00
llama8b,llama-3.1-8b-instant,is_prime,Numerical and Mathematical,Easy,0,511.4,True,,200,,2026-07-25T13:25:26.312847+00:00
