model_key,model_name,task_id,category,difficulty,trial_index,latency_ms,correct,cache_status,http_status,error_type,timestamp
gptoss20b,openai/gpt-oss-20b,reverse_words,String and Text Processing,Easy,0,610.92,True,,200,,2026-07-25T13:32:23.390928+00:00
gptoss20b,openai/gpt-oss-20b,reverse_words,String and Text Processing,Easy,1,501.6,True,,200,,2026-07-25T13:32:26.897609+00:00
gptoss20b,openai/gpt-oss-20b,reverse_words,String and Text Processing,Easy,2,557.25,True,,200,,2026-07-25T13:32:30.456823+00:00
gptoss20b,openai/gpt-oss-20b,count_vowels,String and Text Processing,Easy,0,529.79,True,,200,,2026-07-25T13:32:33.992848+00:00
gptoss20b,openai/gpt-oss-20b,count_vowels,String and Text Processing,Easy,1,503.53,True,,200,,2026-07-25T13:32:37.499221+00:00
gptoss20b,openai/gpt-oss-20b,count_vowels,String and Text Processing,Easy,2,604.74,True,,200,,2026-07-25T13:32:41.108969+00:00
gptoss20b,openai/gpt-oss-20b,is_palindrome_str,String and Text Processing,Easy,0,576.63,True,,200,,2026-07-25T13:32:44.689964+00:00
gptoss20b,openai/gpt-oss-20b,is_palindrome_str,String and Text Processing,Easy,1,452.7,True,,200,,2026-07-25T13:32:48.148462+00:00
gptoss20b,openai/gpt-oss-20b,is_palindrome_str,String and Text Processing,Easy,2,535.95,True,,200,,2026-07-25T13:32:51.690488+00:00
gptoss20b,openai/gpt-oss-20b,levenshtein_distance,String and Text Processing,Hard,0,12728.67,False,,500,logic_error,2026-07-25T13:33:07.424599+00:00
gptoss20b,openai/gpt-oss-20b,levenshtein_distance,String and Text Processing,Hard,1,10670.42,False,,500,logic_error,2026-07-25T13:33:21.097035+00:00
gptoss20b,openai/gpt-oss-20b,levenshtein_distance,String and Text Processing,Hard,2,10460.79,False,,500,logic_error,2026-07-25T13:33:34.563755+00:00
gptoss20b,openai/gpt-oss-20b,is_prime,Numerical and Mathematical,Easy,0,523.18,True,,200,,2026-07-25T13:33:38.091857+00:00
gptoss20b,openai/gpt-oss-20b,is_prime,Numerical and Mathematical,Easy,1,458.74,True,,200,,2026-07-25T13:33:41.556908+00:00
gptoss20b,openai/gpt-oss-20b,is_prime,Numerical and Mathematical,Easy,2,648.38,True,,200,,2026-07-25T13:33:45.210531+00:00
gptoss20b,openai/gpt-oss-20b,fibonacci,Numerical and Mathematical,Easy,0,576.25,True,,200,,2026-07-25T13:33:48.793518+00:00
gptoss20b,openai/gpt-oss-20b,fibonacci,Numerical and Mathematical,Easy,1,578.94,True,,200,,2026-07-25T13:33:52.378885+00:00
gptoss20b,openai/gpt-oss-20b,fibonacci,Numerical and Mathematical,Easy,2,510.86,True,,200,,2026-07-25T13:33:55.893793+00:00
gptoss20b,openai/gpt-oss-20b,sieve_of_eratosthenes,Numerical and Mathematical,Medium,0,490.03,False,,200,edge_case_miss,2026-07-25T13:33:59.390590+00:00
gptoss20b,openai/gpt-oss-20b,sieve_of_eratosthenes,Numerical and Mathematical,Medium,1,531.87,False,,200,edge_case_miss,2026-07-25T13:34:02.925579+00:00
gptoss20b,openai/gpt-oss-20b,sieve_of_eratosthenes,Numerical and Mathematical,Medium,2,473.86,False,,200,edge_case_miss,2026-07-25T13:34:06.402447+00:00
gptoss20b,openai/gpt-oss-20b,matrix_multiply,Numerical and Mathematical,Hard,0,586.8,True,,200,,2026-07-25T13:34:09.991435+00:00
gptoss20b,openai/gpt-oss-20b,matrix_multiply,Numerical and Mathematical,Hard,1,499.33,True,,200,,2026-07-25T13:34:13.493220+00:00
